time,ghi_actual_wh_m2,ghi_forecast_wh_m2,temp_c,load_kw
2025-01-01 00:00:00,0.0,-37.12041108942629,20.26,20.182830247852657
2025-01-01 01:00:00,0.0,-24.734123679409407,19.19,19.426256292303034
2025-01-01 02:00:00,0.0,-1.2563669148054402,18.34,20.758769369514646
2025-01-01 03:00:00,0.0,31.24815286158387,17.54,21.819824962477654
2025-01-01 04:00:00,0.0,70.39197472063805,16.76,22.38868401592334
2025-01-01 05:00:00,0.0,113.35834909413958,15.98,27.94618759128506
2025-01-01 06:00:00,16.9,160.8276123909198,15.71,37.11794358369915
2025-01-01 07:00:00,184.23,259.7711960374355,18.18,44.28034449695767
2025-01-01 08:00:00,412.3,568.1266013347184,21.93,47.97139382596278
2025-01-01 09:00:00,628.9,769.038036403916,26.36,43.563999234687735
2025-01-01 10:00:00,791.53,857.8289228910228,30.45,37.97228680524901
2025-01-01 11:00:00,884.12,856.0433952193586,33.41,37.01954578099309
2025-01-01 12:00:00,932.83,791.3979718953051,35.1,31.201986734556723
2025-01-01 13:00:00,862.1,723.7180495967152,35.95,30.407439297451038
2025-01-01 14:00:00,655.25,510.6582767956658,36.1,31.101590426082915
2025-01-01 15:00:00,514.17,225.8995918527268,35.58,34.26759760192922
2025-01-01 16:00:00,270.42,196.4642614399156,34.17,44.169222647261755
2025-01-01 17:00:00,42.58,-75.75242339742599,28.85,47.786083436385425
2025-01-01 18:00:00,0.0,-165.37704458141727,25.73,65.24167318234338
2025-01-01 19:00:00,0.0,12.185468405697833,24.62,75.27335375839527
2025-01-01 20:00:00,0.0,25.53673335585073,23.48,79.55633024792259
2025-01-01 21:00:00,0.0,-7.061940629525395,22.2,73.84627614612016
2025-01-01 22:00:00,0.0,-30.00769967827972,20.82,65.8977446074909
2025-01-01 23:00:00,0.0,-41.62273671257577,19.49,48.97222647541894
2025-01-02 00:00:00,0.0,-41.07602606161774,18.32,19.743003306702136
2025-01-02 01:00:00,0.0,-28.42467166892824,17.38,19.840036885108074
2025-01-02 02:00:00,0.0,-4.5595093142642895,16.72,20.625909719590062
2025-01-02 03:00:00,0.0,28.291636516389215,16.09,21.453685343887088
2025-01-02 04:00:00,0.0,67.82286396550339,15.5,24.075037581325933
2025-01-02 05:00:00,0.0,111.17664392906492,14.91,29.458176750557914
2025-01-02 06:00:00,17.9,159.10086186793222,14.88,39.351827623195824
2025-01-02 07:00:00,198.18,260.3936896099767,17.57,44.15941118905402
2025-01-02 08:00:00,432.3,586.6883761928243,21.18,47.25802358016483
2025-01-02 09:00:00,647.17,781.0717471125405,25.58,43.616671502351295
2025-01-02 10:00:00,808.12,861.377146111242,30.2,37.679921816111715
2025-01-02 11:00:00,897.45,859.5814833442107,32.88,37.400668866547235
2025-01-02 12:00:00,920.12,798.1982959321404,34.5,31.033849520735288
2025-01-02 13:00:00,849.85,695.8060508545967,35.35,28.671440218906913
2025-01-02 14:00:00,707.92,505.7240877607279,35.54,29.912775059756477
2025-01-02 15:00:00,504.65,325.91387077976844,35.09,35.86087453357923
2025-01-02 16:00:00,263.6,120.5278432666315,33.78,44.6600386879039
2025-01-02 17:00:00,41.8,-73.42195155385446,28.49,50.00315453810174
2025-01-02 18:00:00,0.0,-157.33882199990614,26.04,62.29735039101621
2025-01-02 19:00:00,0.0,13.858347917360604,24.96,75.9113188528387
2025-01-02 20:00:00,0.0,26.026087785400197,23.72,80.28004586164512
2025-01-02 21:00:00,0.0,-6.57258619997593,22.44,75.88084150631846
2025-01-02 22:00:00,0.0,-29.232888498159756,21.2,65.22817608767171
2025-01-02 23:00:00,0.0,-40.542079013987376,20.02,49.53034257657508
2025-01-03 00:00:00,0.0,-39.8322502198462,18.93,20.407348137843137
2025-01-03 01:00:00,0.0,-27.262454898748278,17.95,20.092517507896773
2025-01-03 02:00:00,0.0,-3.886646973633773,17.05,20.477794691630006
2025-01-03 03:00:00,0.0,28.699431874347106,16.29,21.622929970286272
2025-01-03 04:00:00,0.0,68.18987978766549,15.68,22.74102625290768
2025-01-03 05:00:00,0.0,111.72716766230806,15.18,28.803395581518455
2025-01-03 06:00:00,17.9,160.0116459504378,15.25,36.454355429479264
2025-01-03 07:00:00,200.68,263.9410633095904,18.24,43.84764737078812
2025-01-03 08:00:00,438.7,595.1218018083396,21.96,47.599416866206504
2025-01-03 09:00:00,647.85,791.3205220765649,26.08,46.713220778518874
2025-01-03 10:00:00,801.67,856.5157387747716,29.99,36.03527864970362
2025-01-03 11:00:00,886.0,852.6115804001952,33.56,37.22627366403078
2025-01-03 12:00:00,898.15,788.8430857802093,35.26,29.568148162395744
2025-01-03 13:00:00,827.47,677.2276381947839,36.14,29.117283361618092
2025-01-03 14:00:00,685.17,510.0424923161729,36.4,30.821171236461602
2025-01-03 15:00:00,484.05,320.5954178241558,36.01,35.792948866169695
2025-01-03 16:00:00,248.2,119.4549451840486,34.78,44.61806401918783
2025-01-03 17:00:00,38.05,-66.23821787209718,30.61,50.37245013140812
2025-01-03 18:00:00,0.0,-138.69796139396078,28.43,62.9014568547189
2025-01-03 19:00:00,0.0,22.29942257312888,26.79,74.34061634672491
2025-01-03 20:00:00,0.0,29.104942737982206,25.23,82.05914203294519
2025-01-03 21:00:00,0.0,-3.656849390577065,23.87,74.9536065406196
2025-01-03 22:00:00,0.0,-26.33754145665877,22.62,61.13364675133123
2025-01-03 23:00:00,0.0,-37.626342204588525,21.45,47.52757085950994
2025-01-04 00:00:00,0.0,-36.77378503516209,20.43,19.448328628399032
2025-01-04 01:00:00,0.0,-23.97970226718732,19.56,20.35093491916896
2025-01-04 02:00:00,0.0,-0.2776580557065244,18.82,20.38845074252475
2025-01-04 03:00:00,0.0,32.614267310742775,18.21,21.66061669545448
2025-01-04 04:00:00,0.0,72.18627429565274,17.64,23.475777309462337
2025-01-04 05:00:00,0.0,115.56044402711215,17.06,29.220619756449842
2025-01-04 06:00:00,15.48,163.7837530115482,17.1,37.67008966867493
